Designator,Mid X,Mid Y,Rotation,Layer
C1,116.205,-92.075,90.0,top
C10,78.4225,-58.1025,90.0,top
C2,94.615,-59.055,180.0,top
C3,135.255,-43.815,0.0,top
C4,95.5675,-45.72,90.0,top
C5,82.8675,-92.075,180.0,top
C6,95.5675,-49.53,270.0,top
C7,78.4225,-51.7525,90.0,top
C8,86.995,-48.2325,90.0,top
C9,91.1225,-59.055,180.0,top
D1,94.615,-66.675,0.0,top
D2,94.615,-64.135,0.0,top
D3,94.615,-61.595,0.0,top
D4,85.725,-64.4525,270.0,top
D5,83.185,-64.4525,270.0,top
FB1,84.7725,-47.9425,90.0,top
J2,82.8675,-41.91,180.0,top
R1,94.615,-53.975,0.0,top
R2,82.8675,-84.455,180.0,top
R3,82.8675,-81.915,180.0,top
R4,116.205,-86.995,270.0,top
R5,87.9475,-64.4525,270.0,top
R6,90.17,-64.4525,270.0,top
SW1,80.9625,-73.66,90.0,top
U1,105.41,-67.945,0.0,top
U2,127.0,-49.53,270.0,top
U3,90.805,-80.645,180.0,top
U4,127.0,-75.565,180.0,top
U5,84.455,-56.515,90.0,top
Y1,91.7575,-46.6725,270.0,top
